datetime,capacity,vehicles_available,capacity_free
2023-05-13 14:56:16,20,4,16
2023-05-13 15:13:14,20,4,16
2023-05-13 15:42:33,20,4,16
2023-05-13 16:15:40,20,5,15
2023-05-13 16:26:22,20,4,16
2023-05-13 17:13:34,20,4,16
2023-05-13 18:15:31,20,5,15
2023-05-13 19:09:53,20,4,16
2023-05-13 21:43:57,20,4,16
2023-05-13 21:47:29,20,4,16
2023-05-13 22:13:06,20,4,16
2023-05-13 23:10:59,20,4,16
2023-05-14 00:11:42,20,4,16
2023-05-14 01:12:32,20,4,16
2023-05-14 03:11:46,20,4,16
2023-05-14 04:31:59,20,4,16
2023-05-14 05:13:13,20,4,16
2023-05-14 06:15:33,20,4,16
2023-05-14 07:11:57,20,4,16
2023-05-14 08:15:51,20,4,16
2023-05-14 09:12:40,20,4,16
2023-05-14 10:15:10,20,4,16
2023-05-14 11:11:34,20,4,16
2023-05-14 12:12:47,20,4,16
2023-05-14 13:10:09,20,5,15
2023-05-14 14:24:14,20,5,15
2023-05-14 15:13:53,20,5,15
2023-05-14 16:10:58,20,6,14
2023-05-14 17:12:21,20,6,14
2023-05-14 18:15:44,20,6,14
2023-05-14 19:10:44,20,6,14
2023-05-14 20:14:40,20,4,16
2023-05-14 21:10:26,20,4,16
2023-05-14 22:13:01,20,4,16
2023-05-14 23:12:03,20,5,15
2023-05-15 00:11:39,20,5,15
2023-05-15 01:13:05,20,5,15
2023-05-15 03:10:15,20,5,15
2023-05-15 04:33:28,20,6,14
2023-05-15 05:13:49,20,6,14
2023-05-15 06:16:57,20,5,15
2023-05-15 07:12:48,20,9,11
2023-05-15 08:17:48,20,19,1
2023-05-15 09:13:10,20,17,3
2023-05-15 10:16:55,20,14,6
2023-05-15 11:13:25,20,12,8
2023-05-15 12:14:20,20,8,12
2023-05-15 13:11:05,20,8,12
2023-05-15 14:27:48,20,1,19
2023-05-15 15:16:42,20,4,16
2023-05-15 16:12:45,20,1,19
2023-05-15 17:13:46,20,4,16
2023-05-15 18:16:48,20,4,16
2023-05-15 19:11:36,20,5,15
2023-05-15 20:16:27,20,4,16
2023-05-15 21:10:29,20,2,18
2023-05-15 22:13:25,20,2,18
2023-05-15 23:11:11,20,1,19
2023-05-16 00:12:12,20,2,18
2023-05-16 01:12:57,20,2,18
2023-05-16 03:09:11,20,2,18
2023-05-16 04:31:47,20,3,17
2023-05-16 05:14:20,20,3,17
2023-05-16 06:16:24,20,3,17
2023-05-16 07:12:25,20,5,15
2023-05-16 08:16:58,20,10,10
2023-05-16 09:12:43,20,9,11
2023-05-16 10:16:54,20,10,10
2023-05-16 11:13:06,20,10,10
2023-05-16 12:13:45,20,12,8
2023-05-16 13:10:35,20,12,8
2023-05-16 14:28:29,20,11,9
2023-05-16 15:16:36,20,10,10
2023-05-16 16:12:12,20,8,12
2023-05-16 17:13:31,20,8,12
2023-05-16 18:17:19,20,8,12
2023-05-16 19:11:39,20,8,12
2023-05-16 20:15:57,20,8,12
2023-05-16 21:11:12,20,8,12
2023-05-16 22:13:24,20,8,12
2023-05-17 00:12:19,20,8,12
2023-05-17 01:12:37,20,8,12
2023-05-17 03:11:03,20,7,13
2023-05-17 04:31:32,20,7,13
2023-05-17 05:14:19,20,6,14
2023-05-17 06:15:52,20,6,14
2023-05-17 07:12:27,20,6,14
2023-05-17 08:16:50,20,8,12
2023-05-17 09:12:26,20,10,10
2023-05-17 10:16:48,20,15,5
2023-05-17 11:13:02,20,9,11
2023-05-17 12:14:31,20,12,8
2023-05-17 13:10:49,20,14,6
2023-05-17 14:26:22,20,11,9
2023-05-17 15:16:05,20,14,6
2023-05-17 16:12:01,20,11,9
2023-05-17 17:13:47,20,11,9
2023-05-17 18:17:03,20,6,14
2023-05-17 19:11:26,20,8,12
2023-05-17 20:15:52,20,7,13
2023-05-17 21:10:28,20,5,15
2023-05-17 22:13:41,20,6,14
2023-05-17 23:11:20,20,6,14
2023-05-18 00:11:58,20,6,14
2023-05-18 01:12:37,20,6,14
2023-05-18 03:07:49,20,6,14
2023-05-18 04:30:34,20,6,14
2023-05-18 05:13:41,20,6,14
2023-05-18 06:15:33,20,6,14
2023-05-18 07:12:42,20,12,8
2023-05-18 08:17:23,20,17,3
2023-05-18 09:11:46,20,13,7
2023-05-18 10:16:18,20,10,10
2023-05-18 11:12:21,20,19,1
2023-05-18 12:13:36,20,8,12
2023-05-18 13:10:46,20,2,18
2023-05-18 14:27:09,20,2,18
2023-05-18 15:15:49,20,0,20
2023-05-18 16:11:56,20,9,11
2023-05-18 17:13:40,20,11,9
2023-05-18 18:17:00,20,8,12
2023-05-18 19:11:28,20,1,19
2023-05-18 20:16:27,20,0,20
2023-05-18 21:10:28,20,4,16
2023-05-18 22:13:37,20,1,19
2023-05-18 23:11:43,20,1,19
2023-05-19 00:12:01,20,1,19
2023-05-19 01:13:16,20,1,19
2023-05-19 03:09:36,20,0,20
2023-05-19 04:31:13,20,0,20
2023-05-19 05:13:54,20,0,20
2023-05-19 06:15:41,20,0,20
2023-05-19 07:12:31,20,0,20
2023-05-19 08:16:45,20,5,15
2023-05-19 09:12:11,20,1,19
2023-05-19 10:16:19,20,1,19
2023-05-19 11:12:40,20,2,18
2023-05-19 12:13:53,20,1,19
2023-05-19 13:10:46,20,0,20
2023-05-19 14:24:50,20,1,19
2023-05-21 22:33:09,20,3,17
2023-05-21 22:36:36,20,3,17
2023-05-21 23:10:58,20,3,17
2023-05-22 00:11:28,20,3,17
2023-05-22 01:12:44,20,2,18
2023-05-22 03:11:56,20,2,18
2023-05-22 04:35:45,20,2,18
2023-05-22 05:14:10,20,2,18
2023-05-22 06:15:55,20,2,18
2023-05-22 07:12:54,20,3,17
2023-05-22 08:17:38,20,16,4
2023-05-22 09:12:48,20,20,0
2023-05-22 10:17:15,20,11,9
2023-05-22 11:13:44,20,9,11
2023-05-22 12:14:32,20,8,12
2023-05-22 13:11:33,20,1,19
2023-05-22 14:26:04,20,4,16
2023-05-22 15:16:29,20,2,18
2023-05-22 16:12:23,20,4,16
2023-05-22 17:13:41,20,4,16
2023-05-22 18:17:03,20,4,16
2023-05-22 19:11:40,20,0,20
2023-05-22 20:16:14,20,5,15
2023-05-22 21:10:22,20,6,14
2023-05-22 22:13:16,20,8,12
2023-05-22 23:11:31,20,8,12
2023-05-23 00:12:03,20,7,13
2023-05-23 01:13:10,20,8,12
2023-05-23 03:08:34,20,8,12
2023-05-23 04:31:52,20,8,12
2023-05-23 05:13:45,20,8,12
2023-05-23 06:15:33,20,8,12
2023-05-23 07:12:37,20,7,13
2023-05-23 08:17:21,20,17,3
2023-05-23 09:12:18,20,20,0
2023-05-23 10:17:00,20,18,2
2023-05-23 11:13:17,20,14,6
2023-05-23 12:14:13,20,20,0
2023-05-23 13:11:10,20,15,5
2023-05-23 14:25:59,20,0,20
2023-05-23 15:17:29,20,7,13
2023-05-23 16:13:02,20,9,11
2023-05-23 17:14:15,20,9,11
2023-05-23 18:17:08,20,12,8
2023-05-23 19:11:45,20,8,12
2023-05-23 20:15:57,20,8,12
2023-05-23 21:11:31,20,14,6
2023-05-23 22:13:24,20,14,6
2023-05-23 23:11:22,20,13,7
2023-05-24 00:12:30,20,14,6
2023-05-24 01:12:47,20,14,6
2023-05-24 03:10:49,20,4,16
2023-05-24 04:33:51,20,4,16
2023-05-24 05:15:05,20,4,16
2023-05-24 06:15:59,20,4,16
2023-05-24 07:12:15,20,9,11
