date,hour,vehicles_available,temp,hum,percp,wspeed,capacity,capacity_free
2023-05-13,14,4,14.9,74.0,0.0,9.4,20,16
2023-05-13,15,4,14.9,73.0,0.2,11.7,20,16
2023-05-13,15,4,14.9,73.0,0.2,11.7,20,16
2023-05-13,16,5,14.6,72.0,0.1,12.1,20,15
2023-05-13,16,4,14.6,72.0,0.1,12.1,20,16
2023-05-13,17,4,13.6,79.0,0.3,10.2,20,16
2023-05-13,18,5,12.9,81.0,0.1,7.3,20,15
2023-05-13,19,4,11.3,93.0,0.1,7.9,20,16
2023-05-13,21,4,11.0,95.0,0.1,7.0,20,16
2023-05-13,21,4,11.0,95.0,0.1,7.0,20,16
2023-05-13,22,4,10.9,95.0,0.2,8.5,20,16
2023-05-13,23,4,10.7,96.0,0.3,8.7,20,16
2023-05-14,0,4,10.5,97.0,0.3,10.7,20,16
2023-05-14,1,4,10.3,99.0,0.5,9.3,20,16
2023-05-14,3,4,10.1,100.0,1.4,9.3,20,16
2023-05-14,4,4,10.0,100.0,1.5,9.2,20,16
2023-05-14,5,4,10.0,100.0,1.5,10.3,20,16
2023-05-14,6,4,10.1,100.0,1.0,10.5,20,16
2023-05-14,7,4,10.5,100.0,1.3,14.3,20,16
2023-05-14,8,4,10.8,100.0,1.2,14.3,20,16
2023-05-14,9,4,11.0,100.0,1.5,12.2,20,16
2023-05-14,10,4,11.0,100.0,1.9,15.8,20,16
2023-05-14,11,4,11.1,100.0,2.4,17.2,20,16
2023-05-14,12,4,11.1,100.0,2.4,14.5,20,16
2023-05-14,13,5,11.1,100.0,1.6,9.5,20,15
2023-05-14,14,5,11.2,100.0,2.2,8.9,20,15
2023-05-14,15,5,11.2,100.0,0.8,10.5,20,15
2023-05-14,16,6,11.1,100.0,1.3,9.4,20,14
2023-05-14,17,6,10.9,100.0,0.7,9.2,20,14
2023-05-14,18,6,10.7,100.0,0.5,8.6,20,14
2023-05-14,19,6,10.6,100.0,0.1,10.1,20,14
2023-05-14,20,4,10.4,100.0,0.1,8.3,20,16
2023-05-14,21,4,10.4,98.0,0.2,7.3,20,16
2023-05-14,22,4,10.4,97.0,0.2,7.4,20,16
2023-05-14,23,5,10.3,97.0,0.1,5.9,20,15
2023-05-15,0,5,10.2,96.0,0.0,4.0,20,15
2023-05-15,1,5,9.7,97.0,0.0,2.7,20,15
2023-05-15,3,5,8.7,97.0,0.0,2.8,20,15
2023-05-15,4,6,7.3,100.0,0.0,6.5,20,14
2023-05-15,5,6,9.3,97.0,0.0,7.0,20,14
2023-05-15,6,5,11.8,90.0,0.0,7.5,20,15
2023-05-15,7,9,12.7,86.0,0.0,6.7,20,11
2023-05-15,8,19,14.2,74.0,0.0,2.9,20,1
2023-05-15,9,17,15.4,66.0,0.0,3.6,20,3
2023-05-15,10,14,16.2,61.0,0.0,3.8,20,6
2023-05-15,11,12,17.1,58.0,0.0,2.5,20,8
2023-05-15,12,8,17.9,55.0,0.1,5.0,20,12
2023-05-15,13,8,18.1,53.0,0.0,7.1,20,12
2023-05-15,14,1,18.4,53.0,0.0,6.8,20,19
2023-05-15,15,4,18.2,55.0,0.0,7.4,20,16
2023-05-15,16,1,17.7,57.0,0.0,7.7,20,19
2023-05-15,17,4,16.9,64.0,0.0,7.4,20,16
2023-05-15,18,4,16.1,69.0,0.0,7.2,20,16
2023-05-15,19,5,14.6,75.0,0.0,7.9,20,15
2023-05-15,20,4,13.9,79.0,0.0,7.7,20,16
2023-05-15,21,2,13.1,83.0,0.0,7.2,20,18
2023-05-15,22,2,12.2,89.0,0.0,5.4,20,18
2023-05-15,23,1,12.5,86.0,0.0,7.4,20,19
2023-05-16,0,2,11.9,89.0,0.1,10.2,20,18
2023-05-16,1,2,11.3,91.0,0.2,10.4,20,18
2023-05-16,3,2,11.5,89.0,0.0,8.0,20,18
2023-05-16,4,3,11.7,87.0,0.1,9.9,20,17
2023-05-16,5,3,11.9,86.0,0.7,12.9,20,17
2023-05-16,6,3,11.3,97.0,0.9,16.8,20,17
2023-05-16,7,5,11.6,98.0,0.5,17.4,20,15
2023-05-16,8,10,12.1,97.0,0.9,18.0,20,10
2023-05-16,9,9,13.3,86.0,0.8,17.9,20,11
2023-05-16,10,10,13.7,85.0,1.1,23.2,20,10
2023-05-16,11,10,14.0,85.0,1.6,26.0,20,10
2023-05-16,12,12,13.9,86.0,2.2,21.6,20,8
2023-05-16,13,12,12.7,97.0,1.9,21.8,20,8
2023-05-16,14,11,12.7,97.0,0.8,19.4,20,9
2023-05-16,15,10,13.5,87.0,0.9,17.5,20,10
2023-05-16,16,8,13.5,86.0,1.8,17.5,20,12
2023-05-16,17,8,12.4,97.0,2.3,17.2,20,12
2023-05-16,18,8,12.0,97.0,2.2,17.7,20,12
2023-05-16,19,8,11.1,97.0,1.1,17.3,20,12
2023-05-16,20,8,10.8,97.0,1.0,16.6,20,12
2023-05-16,21,8,10.7,97.0,0.7,16.0,20,12
2023-05-16,22,8,10.6,97.0,0.6,13.4,20,12
2023-05-17,0,8,11.5,85.0,0.5,10.7,20,12
2023-05-17,1,8,10.6,97.0,0.3,10.6,20,12
2023-05-17,3,7,10.5,96.0,0.2,12.6,20,13
2023-05-17,4,7,11.3,84.0,0.2,15.5,20,13
2023-05-17,5,6,11.3,82.0,0.2,17.6,20,14
2023-05-17,6,6,11.5,82.0,0.1,18.4,20,14
2023-05-17,7,6,11.9,78.0,0.4,18.4,20,14
2023-05-17,8,8,12.2,77.0,0.5,17.7,20,12
2023-05-17,9,10,12.2,78.0,0.9,16.7,20,10
2023-05-17,10,15,12.2,80.0,1.4,8.9,20,5
2023-05-17,11,9,12.2,81.0,1.2,9.9,20,11
2023-05-17,12,12,11.1,96.0,1.2,11.0,20,8
