datetime,temp,hum,percp,wspeed
2023-04-25 00:00:00,8.4,91.0,0.0,7.4
2023-04-25 01:00:00,7.5,91.0,0.0,8.0
2023-04-25 02:00:00,5.3,98.0,0.0,8.7
2023-04-25 03:00:00,4.1,98.0,0.0,9.1
2023-04-25 04:00:00,3.2,98.0,0.0,9.6
2023-04-25 05:00:00,3.9,99.0,0.0,9.3
2023-04-25 06:00:00,9.2,89.0,0.0,7.3
2023-04-25 07:00:00,11.2,86.0,0.0,4.7
2023-04-25 08:00:00,13.2,56.0,0.0,4.7
2023-04-25 09:00:00,14.2,48.0,0.1,4.8
2023-04-25 10:00:00,14.6,47.0,0.0,2.3
2023-04-25 11:00:00,15.4,46.0,0.1,0.5
2023-04-25 12:00:00,16.0,45.0,0.0,1.8
2023-04-25 13:00:00,15.8,46.0,0.0,1.8
2023-04-25 14:00:00,15.1,51.0,0.4,4.3
2023-04-25 15:00:00,14.0,58.0,0.8,4.5
2023-04-25 16:00:00,13.0,63.0,0.0,1.5
2023-04-25 17:00:00,12.7,66.0,0.0,7.4
2023-04-25 18:00:00,12.1,68.0,0.0,9.8
2023-04-25 19:00:00,10.8,72.0,0.1,7.3
2023-04-25 20:00:00,10.3,70.0,0.0,7.3
2023-04-25 21:00:00,9.6,70.0,0.1,9.7
2023-04-25 22:00:00,9.0,70.0,0.0,5.1
2023-04-25 23:00:00,8.5,69.0,0.0,5.9
2023-04-26 00:00:00,7.9,69.0,0.0,6.3
2023-04-26 01:00:00,7.3,71.0,0.0,7.7
2023-04-26 02:00:00,6.8,72.0,0.0,8.2
2023-04-26 03:00:00,6.3,74.0,0.0,7.2
2023-04-26 04:00:00,5.3,81.0,0.0,8.3
2023-04-26 05:00:00,5.6,83.0,0.0,8.1
2023-04-26 06:00:00,8.6,75.0,0.0,8.4
2023-04-26 07:00:00,9.7,68.0,0.0,11.5
2023-04-26 08:00:00,10.5,64.0,0.0,10.7
2023-04-26 09:00:00,11.1,65.0,0.1,10.6
2023-04-26 10:00:00,11.8,63.0,0.0,4.1
2023-04-26 11:00:00,12.6,60.0,0.1,2.2
2023-04-26 12:00:00,12.8,57.0,0.0,3.6
2023-04-26 13:00:00,12.8,54.0,0.0,5.1
2023-04-26 14:00:00,12.9,53.0,0.0,4.4
2023-04-26 15:00:00,12.5,56.0,0.0,4.6
2023-04-26 16:00:00,11.8,61.0,0.0,5.4
2023-04-26 17:00:00,11.1,67.0,0.1,4.7
2023-04-26 18:00:00,10.2,81.0,0.1,5.4
2023-04-26 19:00:00,8.7,81.0,0.0,5.1
2023-04-26 20:00:00,8.3,79.0,0.0,5.6
2023-04-26 21:00:00,8.1,78.0,0.0,5.2
2023-04-26 22:00:00,7.9,76.0,0.0,6.3
2023-04-26 23:00:00,7.9,74.0,0.0,5.8
2023-04-27 00:00:00,7.3,76.0,0.0,6.8
2023-04-27 01:00:00,7.1,74.0,0.0,6.0
2023-04-27 02:00:00,7.5,69.0,0.0,4.1
2023-04-27 03:00:00,7.1,71.0,0.0,3.0
2023-04-27 04:00:00,6.1,76.0,0.0,3.1
2023-04-27 05:00:00,5.2,84.0,0.0,3.1
2023-04-27 06:00:00,8.0,76.0,0.0,2.6
2023-04-27 07:00:00,9.2,66.0,0.0,3.1
2023-04-27 08:00:00,10.3,62.0,0.0,4.1
2023-04-27 09:00:00,11.6,59.0,0.0,4.2
2023-04-27 10:00:00,12.9,55.0,0.0,3.7
2023-04-27 11:00:00,13.6,53.0,0.0,3.2
2023-04-27 12:00:00,13.7,52.0,0.0,1.9
2023-04-27 13:00:00,14.1,50.0,0.0,1.9
2023-04-27 14:00:00,13.8,54.0,0.1,1.4
2023-04-27 15:00:00,13.8,55.0,0.0,3.3
2023-04-27 16:00:00,13.2,58.0,0.0,4.5
2023-04-27 17:00:00,12.7,62.0,0.0,6.2
2023-04-27 18:00:00,12.1,68.0,0.0,6.5
2023-04-27 19:00:00,11.9,65.0,0.0,8.9
2023-04-27 20:00:00,10.8,71.0,0.0,9.9
2023-04-27 21:00:00,9.8,76.0,0.0,8.5
2023-04-27 22:00:00,9.5,76.0,0.0,4.8
2023-04-27 23:00:00,9.3,77.0,0.0,5.5
2023-04-28 00:00:00,9.0,79.0,0.0,5.9
2023-04-28 01:00:00,8.9,77.0,0.0,6.9
2023-04-28 02:00:00,8.6,76.0,0.0,6.4
2023-04-28 03:00:00,7.9,79.0,0.0,5.2
2023-04-28 04:00:00,7.2,83.0,0.0,5.6
2023-04-28 05:00:00,7.6,84.0,0.0,7.0
2023-04-28 06:00:00,9.5,76.0,0.0,8.0
2023-04-28 07:00:00,11.3,71.0,0.0,9.5
2023-04-28 08:00:00,13.2,64.0,0.0,12.3
2023-04-28 09:00:00,14.7,60.0,0.0,14.0
2023-04-28 10:00:00,16.1,56.0,0.0,11.0
2023-04-28 11:00:00,17.3,50.0,0.0,12.8
2023-04-28 12:00:00,17.6,48.0,0.0,13.7
2023-04-28 13:00:00,17.1,51.0,0.0,13.5
2023-04-28 14:00:00,16.5,56.0,0.0,9.9
2023-04-28 15:00:00,15.8,60.0,0.0,10.9
2023-04-28 16:00:00,15.3,63.0,0.0,13.0
2023-04-28 17:00:00,14.5,69.0,0.0,11.4
2023-04-28 18:00:00,13.7,72.0,0.0,10.0
2023-04-28 19:00:00,12.7,70.0,0.0,10.2
2023-04-28 20:00:00,11.8,72.0,0.0,9.7
